prior,learning_rate,batch_size,n,final_kl_mean,final_kl_se,tail_mean_kl_mean,tail_mean_kl_se,tail_std_kl_mean,tail_std_kl_se
random,1/(t+1),10,5,0.12915603592538588,0.01907477193040889,0.12940520352579474,0.019123218309185175,0.0001676772092227106,3.7723749949353985e-05
random,1/(t+1),100,5,0.12083477177542082,0.0037071964249524077,0.12108214260639508,0.0037281301860436736,0.00014996032895278312,8.62680005538624e-06
random,1/sqrt(t),10,5,0.023268216231279615,0.004743099861360876,0.02500136362426586,0.004766672242401805,0.001917412861423889,0.00035266637110642506
random,1/sqrt(t),100,5,0.019264186967354144,0.0013860947327240033,0.020084546084156406,0.0014909710587175714,0.0006150489483381712,5.79214426134661e-05
random,1/2,10,5,0.037370833594714235,0.007450649573423914,0.06613397888525478,0.0032244637495919743,0.05052080691283012,0.007117878209267607
random,1/2,100,5,0.004953747270011652,0.0016901256394418413,0.0060711996498900135,0.0006485315120928278,0.003865696277680147,0.0001925371484919889
uniform,1/(t+1),10,5,0.002688553466684547,0.0009971531380260769,0.0027181749169662055,0.001009203652101571,4.423401561572826e-05,2.0142892354704423e-05
uniform,1/(t+1),100,5,0.00039843642581359966,9.823665043560308e-05,0.00040047229030050566,0.00010027656484112281,2.4404971395043773e-06,4.0212584964382783e-07
uniform,1/sqrt(t),10,5,0.0022010168251475077,0.0003999562580503663,0.002428289310480387,0.0004518314411497087,0.0011203048161984755,0.000217277716123948
uniform,1/sqrt(t),100,5,0.0004883597723399134,0.0001469382774612699,0.0004308151397860712,0.00010215253446801965,0.00011982744823581061,1.1515759417564746e-05
uniform,1/2,10,5,0.06341077452751445,0.016648884937062524,0.060506253968366674,0.0068527008048846864,0.041153533225053274,0.003418297118955052
uniform,1/2,100,5,0.004635508019005662,0.001465724860120988,0.006921148362787129,0.0016455501510516087,0.0034172481339123685,0.00029156082533961757
slightly_skewed,1/(t+1),10,5,0.06527384236452133,0.0071066292948075305,0.06540448153136974,0.007137643823260928,8.265367676650161e-05,1.9872464878706306e-05
slightly_skewed,1/(t+1),100,5,0.06378979734525406,0.0021410316604500317,0.06390666305543138,0.002161253187248484,6.809601892634669e-05,1.1961061493814704e-05
slightly_skewed,1/sqrt(t),10,5,0.029358366542075548,0.0052372830914443995,0.030480609710759127,0.005440099824454056,0.0012116152879761935,0.00018437535077265384
slightly_skewed,1/sqrt(t),100,5,0.018846192454260613,0.0022400411963815064,0.019255667312997625,0.002354832207807364,0.0002866333982756926,4.8682274592570516e-05
slightly_skewed,1/2,10,5,0.23556045182376528,0.058398090981476865,0.2228199325809587,0.05841063352969483,0.05524403190833652,0.007694348100372803
slightly_skewed,1/2,100,5,0.0052233757792222125,0.0010711046807825196,0.006920605265864771,0.0012558253672966938,0.003841529803987802,0.00038533585105366943
highly_skewed,1/(t+1),10,5,0.03966648846802644,0.0079546113526217,0.03986156137351858,0.00797664812933748,0.0001390891550849615,2.580054304150277e-05
highly_skewed,1/(t+1),100,5,0.03685831888010481,0.002048376339356363,0.03699674741256269,0.0020651544339997884,7.910749754703404e-05,1.3489810109383412e-05
highly_skewed,1/sqrt(t),10,5,0.007780467352356086,0.0010417080005693912,0.008125864084712246,0.0013204966789062385,0.0012425784207175821,0.00011631122848155796
highly_skewed,1/sqrt(t),100,5,0.004374330482723432,0.000705563719187472,0.004568956994850812,0.0007324850360802813,0.00020328883602306556,3.81017488163881e-05
highly_skewed,1/2,10,5,0.07241188545846125,0.016662823168174516,0.064886387292754,0.008221504957055575,0.04712946335218112,0.005276084396569776
highly_skewed,1/2,100,5,0.0046121427596987185,0.001210819904961479,0.0070669516756101764,0.0014259334881188666,0.004099923773324262,0.00054456723437288
extremely_skewed,1/(t+1),10,5,0.002834642936395846,0.0020521666206291876,0.002908538603576872,0.0021056622018734233,3.5427270935997424e-05,2.0905221102112304e-05
extremely_skewed,1/(t+1),100,5,0.0002834704962224347,8.170642876288031e-05,0.0002838459702997282,8.175677259617643e-05,3.7582114101489236e-06,7.034616279759278e-07
extremely_skewed,1/sqrt(t),10,5,0.008170717293242888,0.0033982605701084576,0.00999795336721212,0.003352011038724259,0.0015647600307692182,0.00027080538869240833
extremely_skewed,1/sqrt(t),100,5,0.00038322829507796526,0.00015679172106698185,0.00025432093718662924,4.582216360891192e-05,0.00015921431198683412,2.2474030047992278e-05
extremely_skewed,1/2,10,5,0.45700473226960375,0.030987019456764516,0.4338671635496213,0.02624736231239824,0.03528419336879076,0.0064280338463282875
extremely_skewed,1/2,100,5,0.012755477242452812,0.004032944066951127,0.015097589646047549,0.004192335783912072,0.0041043969746860955,0.0004969273487946212
