method,n,final_test_utility_mean,final_test_utility_se,normalized_auc_mean,normalized_auc_se,calls_to_95pct_oracle_gain_mean,calls_to_95pct_oracle_gain_se,first_four_call_mean_mean,first_four_call_mean_se
Data-Bandit,12,0.8005165313936328,0.0046896294617987605,0.719060319070706,0.004216850307991885,10.333333333333334,1.2811768579763456,0.5418133273528306,0.0009246653049382646
Random-signal guided,12,0.7871475106154312,0.008749144231268425,0.7587611560646965,0.008131753156880138,11.333333333333334,1.410637795431198,0.7096216346878732,0.014686530919388386
Noisy-pricing guided,12,0.8023044730126477,0.002758444057999136,0.7755846558532768,0.00522842386574684,9.5,1.5200677815828019,0.7565557780154034,0.007131224188029074
Pricing-guided Data-Bandit,12,0.8063259595546793,0.0019089493371758522,0.7763512736546833,0.007025834605545737,8.166666666666666,1.7269404252385874,0.7630289287395399,0.009449997856109518
