method,n,markov_nominal_cost_003_mean,markov_nominal_cost_003_se,markov_oos_prior_cost_003_mean,markov_oos_prior_cost_003_se,markov_worst_prior_cost_mean,markov_worst_prior_cost_se
Paper forced-choice,5,0.1450947087296469,0.027251156522243962,0.06732958156042959,0.013712224842735057,0.04173755120366489,0.009438769901209804
Independent,5,0.2600224149515001,0.010679915568265462,0.16983561578496376,0.005315759636290211,0.1526584193663466,0.0026361831477584195
IR-aware,5,0.22170867752278833,0.025004946749835628,0.15029572986855444,0.013084397451883278,0.12574069404805593,0.007249423307586613
Robust IR,5,0.26436616356444176,0.01575082821203509,0.18141547170080613,0.012964588758050859,0.14111424976399287,0.011247915238061509
Cost-aware Markov,5,0.30718963368450963,0.011617419614014152,0.20789921434977648,0.00560322976483332,0.1613913494969451,0.003422010539342299
Robust cost-aware Markov,5,0.24198747211258925,0.013145180812743077,0.20409347480616521,0.004543655837434739,0.18428675679039097,0.0033195153314230642
