method,n,forced_is_normalized_mean,forced_is_normalized_se,forced_oos_normalized_mean,forced_oos_normalized_se,realized_is_normalized_mean,realized_is_normalized_se,realized_oos_normalized_mean,realized_oos_normalized_se
MILP (IS),10,0.7925857762834558,0.00979317666783312,0.8678277380804922,0.00939885513107423,0.4262975205755416,0.016411601448971705,0.4075391136985667,0.013776481284510672
Independent,10,0.48798260993708775,0.01302488243838987,0.5654227310933877,0.013066113779083,0.48798260993708775,0.01302488243838987,0.5468281804353806,0.011907839308784187
Shift,10,0.6157167390207826,0.018270026317156105,0.7205417349288082,0.015252345907016084,0.4006905752882298,0.022080858182838753,0.378870199463471,0.022119411169748086
Jiggle,10,0.6353004882761354,0.02143585689376125,0.7388640191399815,0.01757180447909808,0.41708425047722963,0.018123698230641784,0.39822704992409086,0.01659551670326694
OOS-informed MILP,10,0.7898308424323626,0.010051235160211955,0.8726192794988561,0.008974628346646332,0.4278944707878026,0.019017013035093393,0.4151195196325941,0.015943807401161518
