task,comparison,paired_tasks,normalized_auc_difference_mean,bootstrap_95pct_ci_low,bootstrap_95pct_ci_high,bandit_wins,ties,bandit_losses
classification,Data-Bandit - Data-All,30,0.007944444444444516,0.003404918981481548,0.012196875000000041,24,0,6
classification,Data-Bandit - Data-Alt,30,0.0038171296296297045,-0.0018171296296295991,0.009687615740740828,19,0,11
classification,Data-Bandit - AutoML,30,0.07587268518518522,0.06478234953703703,0.0873458333333334,30,0,0
regression,Data-Bandit - Data-All,30,0.0033486914883152216,0.0018511600124934751,0.004807894197329317,23,0,7
regression,Data-Bandit - Data-Alt,30,0.0008676292527119915,-0.00031980961902315186,0.0021048728937740143,17,0,13
regression,Data-Bandit - AutoML,30,0.032365645727574006,0.028445387430197238,0.03629574342803912,30,0,0
