task,dataset,repeat,seed,method,final_utility,normalized_auc,utility_at_call_10,utility_at_call_20,utility_at_call_60,calls_to_95pct_oracle_gain,reached_95pct_oracle_gain,final_utility_matches_oracle,base_utility,oracle_utility,final_gap_to_oracle
classification,red,6,31006,Data-Alt,0.7708333333333334,0.7665972222222224,0.7666666666666667,0.7708333333333334,0.7708333333333334,3,1,0,0.6166666666666667,0.7541666666666667,-0.01666666666666672
classification,red,6,31006,AutoML,0.5958333333333333,0.5975694444444443,0.5958333333333333,0.5958333333333333,0.5958333333333333,61,0,0,0.6166666666666667,0.7541666666666667,0.15833333333333333
classification,red,7,31007,Data-Bandit,0.7791666666666667,0.7727777777777779,0.7541666666666667,0.7791666666666667,0.7791666666666667,2,1,0,0.6666666666666666,0.7458333333333333,-0.033333333333333326
classification,red,7,31007,Data-All,0.7458333333333333,0.7379166666666666,0.7458333333333333,0.7458333333333333,0.7458333333333333,7,1,1,0.6666666666666666,0.7458333333333333,0.0
classification,red,7,31007,Data-Alt,0.7458333333333333,0.7445138888888887,0.7458333333333333,0.7458333333333333,0.7458333333333333,2,1,1,0.6666666666666666,0.7458333333333333,0.0
classification,red,7,31007,AutoML,0.6666666666666666,0.6666666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,61,0,0,0.6666666666666666,0.7458333333333333,0.07916666666666672
classification,red,8,31008,Data-Bandit,0.7333333333333333,0.7338888888888888,0.7416666666666667,0.7333333333333333,0.7333333333333333,61,0,0,0.7,0.7583333333333333,0.025000000000000022
classification,red,8,31008,Data-All,0.7583333333333333,0.7435416666666667,0.7458333333333333,0.7416666666666667,0.7583333333333333,24,1,1,0.7,0.7583333333333333,0.0
classification,red,8,31008,Data-Alt,0.7583333333333333,0.7520833333333333,0.7416666666666667,0.7583333333333333,0.7583333333333333,18,1,1,0.7,0.7583333333333333,0.0
classification,red,8,31008,AutoML,0.7,0.6953472222222224,0.7,0.7,0.7,61,0,0,0.7,0.7583333333333333,0.05833333333333335
classification,red,9,31009,Data-Bandit,0.7083333333333334,0.7091666666666668,0.7083333333333334,0.7083333333333334,0.7083333333333334,1,1,1,0.7125,0.7083333333333334,0.0
classification,red,9,31009,Data-All,0.7083333333333334,0.7097916666666667,0.7375,0.7208333333333333,0.7083333333333334,1,1,1,0.7125,0.7083333333333334,0.0
classification,red,9,31009,Data-Alt,0.7041666666666667,0.7118749999999998,0.7208333333333333,0.7041666666666667,0.7041666666666667,1,1,0,0.7125,0.7083333333333334,0.004166666666666652
classification,red,9,31009,AutoML,0.6708333333333333,0.6736111111111112,0.6708333333333333,0.6708333333333333,0.6708333333333333,1,1,0,0.7125,0.7083333333333334,0.03750000000000009
classification,red,10,31010,Data-Bandit,0.7,0.7036805555555558,0.7208333333333333,0.7,0.7,4,1,1,0.6375,0.7,0.0
classification,red,10,31010,Data-All,0.7,0.6963194444444447,0.6875,0.7083333333333334,0.7,18,1,1,0.6375,0.7,0.0
classification,red,10,31010,Data-Alt,0.6958333333333333,0.6936805555555554,0.7083333333333334,0.6958333333333333,0.6958333333333333,8,1,0,0.6375,0.7,0.004166666666666652
classification,red,10,31010,AutoML,0.6375,0.6375000000000003,0.6375,0.6375,0.6375,61,0,0,0.6375,0.7,0.0625
classification,red,11,31011,Data-Bandit,0.7625,0.7601388888888891,0.7625,0.7625,0.7625,2,1,1,0.6875,0.7625,0.0
classification,red,11,31011,Data-All,0.7625,0.7450694444444447,0.7583333333333333,0.7583333333333333,0.7625,11,1,1,0.6875,0.7625,0.0
classification,red,11,31011,Data-Alt,0.7375,0.7399305555555553,0.7583333333333333,0.7375,0.7375,8,1,0,0.6875,0.7625,0.02499999999999991
classification,red,11,31011,AutoML,0.6666666666666666,0.6677083333333331,0.6666666666666666,0.6666666666666666,0.6666666666666666,61,0,0,0.6875,0.7625,0.09583333333333333
classification,red,12,31012,Data-Bandit,0.7208333333333333,0.7181944444444442,0.7208333333333333,0.7208333333333333,0.7208333333333333,61,0,0,0.6625,0.7416666666666667,0.02083333333333337
classification,red,12,31012,Data-All,0.7416666666666667,0.7172916666666667,0.7,0.7,0.7416666666666667,36,1,1,0.6625,0.7416666666666667,0.0
classification,red,12,31012,Data-Alt,0.7208333333333333,0.7171527777777775,0.7,0.7208333333333333,0.7208333333333333,61,0,0,0.6625,0.7416666666666667,0.02083333333333337
classification,red,12,31012,AutoML,0.6333333333333333,0.6353472222222223,0.6333333333333333,0.6333333333333333,0.6333333333333333,61,0,0,0.6625,0.7416666666666667,0.10833333333333339
classification,red,13,31013,Data-Bandit,0.7375,0.738472222222222,0.7541666666666667,0.7375,0.7375,2,1,1,0.6666666666666666,0.7375,0.0
classification,red,13,31013,Data-All,0.7375,0.7288888888888887,0.7375,0.7375,0.7375,7,1,1,0.6666666666666666,0.7375,0.0
classification,red,13,31013,Data-Alt,0.7375,0.735833333333333,0.7375,0.7375,0.7375,2,1,1,0.6666666666666666,0.7375,0.0
classification,red,13,31013,AutoML,0.6333333333333333,0.6355555555555555,0.6333333333333333,0.6333333333333333,0.6333333333333333,61,0,0,0.6666666666666666,0.7375,0.10416666666666674
classification,red,14,31014,Data-Bandit,0.725,0.7235416666666669,0.7083333333333334,0.725,0.725,2,1,1,0.6875,0.725,0.0
classification,red,14,31014,Data-All,0.725,0.7311805555555556,0.725,0.7208333333333333,0.725,7,1,1,0.6875,0.725,0.0
classification,red,14,31014,Data-Alt,0.75,0.7420138888888889,0.7208333333333333,0.7541666666666667,0.75,2,1,0,0.6875,0.725,-0.025000000000000022
classification,red,14,31014,AutoML,0.6875,0.6875,0.6875,0.6875,0.6875,61,0,0,0.6875,0.725,0.03749999999999998
classification,white,0,32000,Data-Bandit,0.7291666666666666,0.7240277777777777,0.7041666666666667,0.7291666666666666,0.7291666666666666,11,1,0,0.6458333333333334,0.7208333333333333,-0.008333333333333304
classification,white,0,32000,Data-All,0.7208333333333333,0.7094444444444442,0.7041666666666667,0.7208333333333333,0.7208333333333333,17,1,1,0.6458333333333334,0.7208333333333333,0.0
classification,white,0,32000,Data-Alt,0.7,0.6993750000000003,0.7,0.7,0.7,61,0,0,0.6458333333333334,0.7208333333333333,0.02083333333333337
classification,white,0,32000,AutoML,0.6458333333333334,0.645138888888889,0.6458333333333334,0.6458333333333334,0.6458333333333334,61,0,0,0.6458333333333334,0.7208333333333333,0.07499999999999996
classification,white,1,32001,Data-Bandit,0.7208333333333333,0.7206249999999998,0.7208333333333333,0.7208333333333333,0.7208333333333333,2,1,1,0.6583333333333333,0.7208333333333333,0.0
classification,white,1,32001,Data-All,0.7208333333333333,0.7147916666666665,0.725,0.7291666666666666,0.7208333333333333,7,1,1,0.6583333333333333,0.7208333333333333,0.0
classification,white,1,32001,Data-Alt,0.7166666666666667,0.7185416666666669,0.7291666666666666,0.7166666666666667,0.7166666666666667,2,1,0,0.6583333333333333,0.7208333333333333,0.004166666666666652
classification,white,1,32001,AutoML,0.6541666666666667,0.6544444444444447,0.6541666666666667,0.6541666666666667,0.6541666666666667,61,0,0,0.6583333333333333,0.7208333333333333,0.06666666666666665
classification,white,2,32002,Data-Bandit,0.7333333333333333,0.7346527777777777,0.7291666666666666,0.7333333333333333,0.7333333333333333,11,1,1,0.7208333333333333,0.7333333333333333,0.0
classification,white,2,32002,Data-All,0.7333333333333333,0.7314583333333334,0.7291666666666666,0.7333333333333333,0.7333333333333333,11,1,1,0.7208333333333333,0.7333333333333333,0.0
classification,white,2,32002,Data-Alt,0.7333333333333333,0.732638888888889,0.7333333333333333,0.7333333333333333,0.7333333333333333,8,1,1,0.7208333333333333,0.7333333333333333,0.0
classification,white,2,32002,AutoML,0.7208333333333333,0.7204861111111109,0.7208333333333333,0.7208333333333333,0.7208333333333333,61,0,0,0.7208333333333333,0.7333333333333333,0.012499999999999956
classification,white,3,32003,Data-Bandit,0.7333333333333333,0.7325,0.7333333333333333,0.7333333333333333,0.7333333333333333,2,1,1,0.675,0.7333333333333333,0.0
classification,white,3,32003,Data-All,0.7333333333333333,0.7316666666666668,0.7333333333333333,0.7458333333333333,0.7333333333333333,7,1,1,0.675,0.7333333333333333,0.0
classification,white,3,32003,Data-Alt,0.7333333333333333,0.7338888888888888,0.7458333333333333,0.7333333333333333,0.7333333333333333,2,1,1,0.675,0.7333333333333333,0.0
classification,white,3,32003,AutoML,0.6666666666666666,0.6666666666666664,0.6666666666666666,0.6666666666666666,0.6666666666666666,61,0,0,0.675,0.7333333333333333,0.06666666666666665
