seed,prior,learning_rate,batch_size,rounds,initial_kl,final_kl,tail_mean_kl,tail_std_kl
20270716,random,1/(t+1),10,1000,0.23468118987899717,0.10042301165232279,0.10087608240792527,0.00037434600034163065
20270716,random,1/(t+1),100,1000,0.23468118987899717,0.0940077611598418,0.09433553022387133,0.00021858023672013333
20270716,random,1/sqrt(t),10,1000,0.23468118987899717,0.02702173071206727,0.029376049407336777,0.0016229433052026739
20270716,random,1/sqrt(t),100,1000,0.23468118987899717,0.023816329063173103,0.023889428630976314,0.0004728107025914715
20270716,random,1/2,10,1000,0.23468118987899717,0.02461979343962762,0.060257675475224044,0.04505140750610884
20270716,random,1/2,100,1000,0.23468118987899717,0.0061995184680905535,0.007417937343531657,0.004299445457130082
20270716,uniform,1/(t+1),10,1000,0.0,0.0001680407747897076,0.00019831671059413462,2.487148196129287e-05
20270716,uniform,1/(t+1),100,1000,0.0,0.0004125776093361396,0.0004253896433689742,9.686206311728201e-06
20270716,uniform,1/sqrt(t),10,1000,0.0,0.0012328593650766141,0.0018141736858180992,0.0011850745500738872
20270716,uniform,1/sqrt(t),100,1000,0.0,0.0005409664372337027,0.0001336593185241118,0.00012984574802047788
20270716,uniform,1/2,10,1000,0.0,0.014654141658318777,0.04093639135649709,0.030504696370811914
20270716,uniform,1/2,100,1000,0.0,0.004065981560847803,0.00542810023130694,0.003699578953014182
20270716,slightly_skewed,1/(t+1),10,1000,0.14178624293891887,1.8409008993213227,1.841074758886956,0.00015297695151257263
20270716,slightly_skewed,1/(t+1),100,1000,0.14178624293891887,0.015690620545418123,0.015834674500748727,0.0001013638739492923
20270716,slightly_skewed,1/sqrt(t),10,1000,0.14178624293891887,1.9355375383262379,1.937478074668812,0.003406955716922989
20270716,slightly_skewed,1/sqrt(t),100,1000,0.14178624293891887,0.0016903436664699178,0.0011459011656344198,0.00016397185409673098
20270716,slightly_skewed,1/2,10,1000,0.14178624293891887,0.013287487927931503,0.09121599582420101,0.05612309192194523
20270716,slightly_skewed,1/2,100,1000,0.14178624293891887,0.006135386873830577,0.007418761594202105,0.0037066354144578346
20270716,highly_skewed,1/(t+1),10,1000,0.33512821091890216,0.2229620941965702,0.22322393751436478,0.00023255259505780798
20270716,highly_skewed,1/(t+1),100,1000,0.33512821091890216,0.22587612368547993,0.22647226653691974,0.0003218215192226367
20270716,highly_skewed,1/sqrt(t),10,1000,0.33512821091890216,0.020742400906406864,0.01868268309268922,0.0022656390158662157
